channel,energy_keV,raw_counts,background_adjusted_counts,background_adjusted_unc,efficiency,final_corrected_counts,final_corrected_unc
87,41.77170787989999,1085.0,1081.5833333333333,32.940418645723916,nan,nan,nan
88,42.27131962239999,1048.0,1044.5,32.37395429456629,nan,nan,nan
89,42.770931499099994,1133.0,1129.6666666666667,33.66109689900857,nan,nan,nan
90,43.270543509999996,1086.0,1082.5416666666667,32.955607240818836,nan,nan,nan
91,43.7701556551,1101.0,1097.5208333333333,33.18241224864293,nan,nan,nan
92,44.2697679344,1073.0,1069.7083333333333,32.75772544589884,nan,nan,nan
93,44.7693803479,1072.0,1068.8541666666667,32.74241191779317,nan,nan,nan
94,45.2689928956,1075.0,1071.625,32.788264859549976,nan,nan,nan
95,45.76860557749999,1108.0,1104.9791666666667,33.28757927557631,nan,nan,nan
96,46.268218393599994,1072.0,1068.5833333333333,32.74249808056123,nan,nan,nan
97,46.76783134389999,1126.0,1123.1041666666667,33.55682240411197,nan,nan,nan
98,47.2674444284,1105.0,1102.125,33.24244118342293,nan,nan,nan
99,47.767057647099996,1064.0,1061.2291666666667,32.61989769595307,nan,nan,nan
100,48.266670999999995,1106.0,1102.6875,33.25761582580247,nan,nan,nan
101,48.7662844871,1118.0,1114.9791666666667,33.43744807887973,nan,nan,nan
102,49.265898108399995,1090.0,1087.2083333333333,33.01602883028518,nan,nan,nan
103,49.765511863899995,1065.0,1062.1458333333333,32.63524876273438,nan,nan,nan
104,50.265125753599996,1156.0,1152.5416666666667,34.00105952189006,nan,nan,nan
105,50.7647397775,1114.0,1110.7083333333333,33.3776658319435,nan,nan,nan
106,51.2643539356,1126.0,1122.875,33.556893541665424,nan,nan,nan
107,51.763968227899994,1077.0,1073.6875,32.81872956737763,nan,nan,nan
108,52.2635826544,1121.0,1117.7083333333333,33.482362168593916,nan,nan,nan
109,52.7631972151,1125.0,1121.9791666666667,33.54195781447138,nan,nan,nan
110,53.262811909999996,1153.0,1149.5833333333333,33.956901810317675,nan,nan,nan
111,53.76242673909999,1074.0,1071.3333333333333,32.77278681399487,nan,nan,nan
112,54.2620417024,1101.0,1098.2083333333333,33.182196427033304,nan,nan,nan
113,54.761656799899995,1205.0,1201.9791666666667,34.714016391477635,nan,nan,nan
114,55.261272031599994,1152.0,1148.7708333333333,33.94211652660387,nan,nan,nan
115,55.7608873975,1165.0,1162.3125,34.13291651153375,nan,nan,nan
116,56.2605028976,1224.0,1221.3958333333333,34.98648672662378,4.252797295995496e-06,287198224.67988765,8226699.814629687
117,56.76011853189999,1248.0,1244.8958333333333,35.327958759867364,2.6400427529619916e-05,47154381.56964028,1338158.585508936
118,57.25973430039999,1189.0,1185.7916666666667,34.482848494255485,4.793718230209117e-05,24736365.58765655,719334.0709295555
119,57.75935020309999,1276.0,1272.875,35.722053470743624,6.888087145874388e-05,18479368.40872269,518606.2939424236
120,58.25896623999999,1299.0,1296.0416666666667,36.04249758194407,8.92487086946913e-05,14521685.362420915,403843.3508908343
121,58.758582411099994,1332.0,1328.5625,36.497556282350374,0.00010905733441924795,12182238.884480905,334663.93137799617
122,59.258198716399995,1224.0,1220.8958333333333,34.98663559330746,0.00012832283762889788,9514252.146325601,272645.4327209219
123,59.7578151559,1273.0,1270.0833333333333,35.67997707242661,0.00014706077683677098,8636451.953079596,242620.6214865119
124,60.2574317296,1319.0,1316.4583333333333,36.31876858304655,0.00016539393715626238,7959531.987496966,219589.47956316546
125,60.757048437499996,1286.0,1283.0833333333333,35.86168936189271,0.00018336462771527314,6997441.923889994,195575.83056628786
126,61.25666527959999,1243.0,1239.5833333333333,35.257214588727166,0.0002008949808600233,6170305.141655242,175500.72399913854
127,61.7562822559,1260.0,1257.0625,35.49734071612502,0.00021799686923085188,5766424.556624297,162834.1766621173
128,62.255899366399994,1200.0,1197.0,34.64191824942724,0.00023468178343481977,5100523.706955948,147612.30182592612
129,62.75551661109999,1210.0,1206.7083333333333,34.78603996417082,0.00025096084659282384,4808352.975040684,138611.42260414065
130,63.25513398999999,1228.0,1224.9791666666667,35.04372888303666,0.000266844828243097,4590604.864751976,131326.24347177395
131,63.75475150309999,1256.0,1253.0416666666667,35.440959805632296,0.0002823441576335027,4437993.96158634,125523.9708258334
132,64.2543691504,1244.0,1241.1041666666667,35.27123941487046,0.0002974689364335226,4172214.354704646,118571.16859915477
133,64.75398693189999,1367.0,1364.3125,36.973720256194575,0.0003122289508946266,4369589.995068838,118418.61605163176
134,65.25360484759999,1324.0,1320.3541666666667,36.3878544965365,0.0003266336834866578,4042308.65773707,111402.63951994668
135,65.7532228975,1301.0,1297.7708333333333,36.07031014983868,0.000340692324035699,3809216.5328542828,105873.56275763671
136,66.2528410816,1374.0,1371.0208333333333,37.068343178138164,0.00035441378038798593,3868418.524337404,104590.5809236833
137,66.75245939989999,1333.0,1329.9791666666667,36.51113438429129,0.00036780668862289057,3615973.302840842,99267.18440328822
138,67.25207785239999,1364.0,1361.3541666666667,36.93311686722064,0.00038087942283661493,3574239.208114543,96968.00260869898
139,67.7516964391,1344.0,1341.1041666666667,36.661428366351345,0.000393640104517311,3406929.708829222,93134.38327455554
140,68.25131516,1457.0,1453.5833333333333,38.171601755173384,0.0004060966115310553,3579402.7629363113,93996.35621498975
141,68.7509340151,1510.0,1506.25,38.859723686614146,0.00041825658673706615,3601258.2892015344,92908.81463402516
142,69.2505530044,1425.0,1421.7291666666667,37.75007473318577,0.00043012744624971495,3305367.2325789393,87764.85914193341
143,69.7501721279,1436.0,1432.4166666666667,37.89557563592058,0.0004417163873636401,3242842.4836487654,85791.64531816044
144,70.24979138559999,1461.0,1457.0,38.22411978493858,0.00045303039615801014,3216119.7402123553,84374.29388646713
145,70.74941077749999,1737.0,1731.6875,41.67865973232984,0.0004640762547942959,3731471.8909020224,89809.93813355979
146,71.2490303036,2049.0,2044.4583333333333,45.26692631552926,0.0004748605485219726,4305386.791336558,95326.77847512254
147,71.7486499639,2180.0,2176.8333333333335,46.69117659924862,0.0004853896724053765,4484712.916420142,96193.18097121392
148,72.2482697584,2123.0,2118.9166666666665,46.07694726698422,0.0004956698377842695,4274854.964220928,92958.94919278567
149,72.7478896871,1917.0,1910.0416666666667,43.785214002877474,0.0005057070784803386,3776972.3777772416,86582.16557785397
150,73.24750974999999,2137.0,2130.5208333333335,46.22915727805222,0.0005155072567608314,4132862.933337493,89677.02524408915
151,73.74712994709999,2662.0,2657.3541666666665,51.59551131827694,0.0005250760690702005,5060893.693693341,98262.92675962506
152,74.2467502784,2714.0,2710.8125,52.09670245082696,0.000534419051540217,5072447.346679222,97482.86910932943
153,74.7463707439,2176.0,2173.0,46.64828507030028,0.0005435415852879113,3997854.1823050627,85822.84471498334
154,75.2459913436,1742.0,1738.8333333333333,41.73806382934195,0.0005524489015111768,3147500.7526974953,75550.99433661836
155,75.7456120775,1537.0,1534.1041666666667,39.20536098368578,0.0005611460863903922,2733876.621210867,69866.58543032306
156,76.2452329456,1364.0,1361.1666666666667,36.93316974993858,0.0005696380858046823,2389528.896656998,64836.20156430734
157,76.7448539479,1330.0,1327.0416666666667,36.4700100348827,0.000577929709870786,2296199.077502639,63104.57727296403
158,77.24447508440001,1242.0,1238.6666666666667,35.2430056102547,0.0005860256373121536,2113673.170252236,60139.01673636522
