sample_id,sample_group,isotope,reference_activity_bq,reference_activity_unc_bq,matched,raw_activity_bq,raw_activity_unc_bq,relative_activity_error,activity_en_score,decay_label,decay_time_s
RAFM4-C_15dEOI,RAFM4,Cr51,6745100.0,264846.0,True,6745100.0,264846.0,0.0,0.0,15d,1385628.0
RAFM4-C_15dEOI,RAFM4,W187,5106.0,688.1999999999999,True,5106.0,688.1999999999998,0.0,0.0,15d,1385628.0
RAFM4-C_15dEOI,RAFM4,Mn54,18130.0,1639.1,True,18130.0,1639.1000000000001,0.0,0.0,15d,1385628.0
RAFM4-C_15dEOI,RAFM4,Co60,2449.3999999999996,292.3,True,2449.3999999999996,292.3,0.0,0.0,15d,1385628.0
RAFM4-N_15dEOI,RAFM4,Ta182,456136.0,21608.0,True,456136.0,21608.0,0.0,0.0,15d,1389711.0
RAFM4-N_15dEOI,RAFM4,Fe59,339882.0,27972.0,True,339882.0,27972.0,0.0,0.0,15d,1389711.0
RAFM4-N_15dEOI,RAFM4,Tb154m,332334.0,13098.0,True,332334.0,13098.0,0.0,0.0,15d,1389711.0
RAFM4-N_15dEOI,RAFM4,Cr51,6671100.0,261849.0,True,6671100.0,261849.0,0.0,0.0,15d,1389711.0
RAFM4-N_15dEOI,RAFM4,W187,6400.999999999999,666.0,True,6400.999999999999,665.9999999999999,0.0,0.0,15d,1389711.0
RAFM4-N_15dEOI,RAFM4,Mn54,20128.0,1790.8,True,20128.0,1790.7999999999997,0.0,0.0,15d,1389711.0
RAFM4-N_15dEOI,RAFM4,Co60,1383.8000000000002,208.30999999999997,True,1383.8000000000002,208.31,0.0,0.0,15d,1389711.0
CU-RAFM-1,flux_wires,Cu64,3172380.0,409923.0,True,3172380.0,409923.00000000006,0.0,0.0,,247200.0
Co-Cd-RAFM-1_25cm,flux_wires,Co60,234.95,22.126,True,234.95,22.125999999999998,0.0,0.0,,2066100.0
Co-RAFM-1_25cm,flux_wires,Co60,2035.0,178.71,True,2035.0,178.71,0.0,0.0,,1989660.0
In-Cd-RAFM-1_25cm,flux_wires,In114m,219706.0,5957.0,True,219706.0,5957.000000000001,0.0,0.0,,236400.0
In-Cd-RAFM-1_25cm,flux_wires,In115m,11988.0,518.0,True,11988.0,518.0,0.0,0.0,,236400.0
Ni-RAFM-1_25cm,flux_wires,Co58,45880.0,3848.0,True,45880.0,3847.9999999999995,0.0,0.0,,1969080.0
Sc-Cd-RAFM-1_25cm,flux_wires,Sc46,159063.0,11803.0,True,159063.0,11802.999999999998,0.0,0.0,,1974060.0
Sc-RAFM-1_25cm,flux_wires,Sc46,1607650.0,123617.0,True,1607650.0,123617.0,0.0,0.0,,1981080.0
Ti-RAFM-1_25cm,flux_wires,Sc47,2271.8,66.97,True,2271.8,66.97,0.0,0.0,,677040.0
Ti-RAFM-1_25cm,flux_wires,Sc48,15688.0,1443.0,True,15688.0,1443.0000000000002,0.0,0.0,,677040.0
Ti-RAFM-1_25cm,flux_wires,Sc46,473.6,43.660000000000004,True,473.6,43.660000000000004,0.0,0.0,,677040.0
Ti-RAFM-1a_25cm,flux_wires,Sc47,2282.9,67.34,True,2282.9,67.34,0.0,0.0,,691620.0
Ti-RAFM-1a_25cm,flux_wires,Sc48,15095.999999999998,1361.6,True,15095.999999999998,1361.6,0.0,0.0,,691620.0
Ti-RAFM-1a_25cm,flux_wires,Sc46,484.70000000000005,48.47,True,484.70000000000005,48.47,0.0,0.0,,691620.0
Ti-RAFM-1b_25cm,flux_wires,Sc47,1605.8,45.88,True,1605.8,45.879999999999995,0.0,0.0,,762540.0
Ti-RAFM-1b_25cm,flux_wires,Sc48,8658.0,732.6,True,8658.0,732.6,0.0,0.0,,762540.0
Ti-RAFM-1b_25cm,flux_wires,Sc46,466.2,41.44,True,466.2,41.43999999999999,0.0,0.0,,762540.0
