sample_id,sample_group,isotope,energy_keV,significance,activity_stage,line_activity_bq,line_activity_unc_bq,consensus_activity_bq,consensus_activity_unc_bq,relative_deviation_from_consensus,line_consistency_en_score,n_lines_used,max_relative_deviation_for_isotope,weighted_relative_scatter,flag_line_inconsistency,flag_isotope_scatter
RAFM3-C_2hrEOI,RAFM3,Mn56,846.8202629884,350.5277365575641,eoi,697967.5011468679,1991.1905060678323,627572.8115759402,1626.0467950293407,0.1121697566759701,27.38270611987861,8,0.9972386611309221,0.16752697502560465,False,True
RAFM3-C_2hrEOI,RAFM3,Mn56,1237.8111764881392,5.306428759135593,eoi,1253412.6819540993,236206.4467173357,627572.8115759402,1626.0467950293407,0.9972386611309221,2.649483324725426,8,0.9972386611309221,0.16752697502560465,True,True
RAFM3-C_2hrEOI,RAFM3,Mn56,1810.2377359375,138.433459063134,eoi,534346.149239552,3859.9494143670718,627572.8115759402,1626.0467950293407,0.14855114915236772,-22.257955132325648,8,0.9972386611309221,0.16752697502560465,False,True
RAFM3-C_2hrEOI,RAFM3,Mn56,2112.81461359,97.50227488682268,eoi,449432.432886423,4609.455865600151,627572.8115759402,1626.0467950293407,0.2838561126352446,-36.445523528240116,8,0.9972386611309221,0.16752697502560465,True,True
RAFM3-C_2hrEOI,RAFM3,Mn56,2521.9966625984,25.715674153704285,eoi,411543.62302720867,16003.610116047716,627572.8115759402,1626.0467950293407,0.3442296807062852,-13.42963558582107,8,0.9972386611309221,0.16752697502560465,True,True
RAFM3-C_2hrEOI,RAFM3,Mn56,2656.5761498119,19.412387504300703,eoi,354036.5145923159,18237.65956216777,627572.8115759402,1626.0467950293407,0.43586384231134706,-14.939171707331107,8,0.9972386611309221,0.16752697502560465,True,True
RAFM3-C_2hrEOI,RAFM3,Mn56,2658.0770910399997,19.31908349133493,eoi,350329.9582480047,18133.880854396433,627572.8115759402,1626.0467950293407,0.4417700196917906,-15.227570027034915,8,0.9972386611309221,0.16752697502560465,True,True
RAFM3-C_2hrEOI,RAFM3,Mn56,2960.2911923696,12.578853715497022,eoi,293173.0355756315,23306.81651973146,627572.8115759402,1626.0467950293407,0.5328461810838729,-14.31293287474324,8,0.9972386611309221,0.16752697502560465,True,True
RAFM3-C_2hrEOI,RAFM3,Tb154m,120.3639817629755,4.563189293267547,eoi,3582.313060834249,785.0459033377234,3366.0223299923623,609.8117270572808,0.06425706951337351,0.217581839540633,3,3.42965441339498,0.41904889414345214,False,True
RAFM3-C_2hrEOI,RAFM3,Tb154m,646.8714915956662,2.8045502301071226,eoi,14910.31566963672,5316.473033562749,3366.0223299923623,609.8117270572808,3.42965441339498,2.157274674799159,3,3.42965441339498,0.41904889414345214,True,True
RAFM3-C_2hrEOI,RAFM3,Tb154m,874.6247420387688,2.67019069301151,eoi,2629.567878308262,984.7865492117973,3366.0223299923623,609.8117270572808,0.2187907207632135,-0.6358025213039014,3,3.42965441339498,0.41904889414345214,False,True
RAFM3-C_2hrEOI,RAFM3,W187,133.70252789110003,79.6002426170106,eoi,211119.5604825366,2652.247701031759,85511.10245878919,772.2412811917225,1.4689140288453484,45.471007333768,9,1191.5473687034796,2.917733088782929,True,True
RAFM3-C_2hrEOI,RAFM3,W187,202.70518844143825,16.869079660671154,eoi,7138717.14774442,423183.5578077054,85511.10245878919,772.2412811917225,82.48292727467546,16.66698568855474,9,1191.5473687034796,2.917733088782929,True,True
RAFM3-C_2hrEOI,RAFM3,W187,479.4686338887386,54.86694002894587,eoi,65436.46390769208,1192.639208112756,85511.10245878919,772.2412811917225,0.23476060972049545,-14.128856546111876,9,1191.5473687034796,2.917733088782929,False,True
RAFM3-C_2hrEOI,RAFM3,W187,511.4659723159,20.489669389066677,eoi,882724.6657566222,43081.44992459691,85511.10245878919,772.2412811917225,9.322924630541845,18.501826629815408,9,1191.5473687034796,2.917733088782929,True,True
RAFM3-C_2hrEOI,RAFM3,W187,551.4454276279,16.734720558215532,eoi,95117.58317342984,5683.846517935073,85511.10245878919,772.2412811917225,0.1123419116163349,1.67475035532554,9,1191.5473687034796,2.917733088782929,False,True
RAFM3-C_2hrEOI,RAFM3,W187,617.9131729600001,32.33575446025446,eoi,168072.53694569867,5197.730492179648,85511.10245878919,772.2412811917225,0.9655054386265075,15.711669316621567,9,1191.5473687034796,2.917733088782929,True,True
RAFM3-C_2hrEOI,RAFM3,W187,685.3828609375,62.16286297579307,eoi,73276.81364606098,1178.7876255730982,85511.10245878919,772.2412811917225,0.14307251878344499,-8.681612227373673,9,1191.5473687034796,2.917733088782929,False,True
RAFM3-C_2hrEOI,RAFM3,W187,772.84720775,19.023292446846213,eoi,91248.56822164146,4796.675889654903,85511.10245878919,772.2412811917225,0.06709615006562868,1.1809271499643728,9,1191.5473687034796,2.917733088782929,False,True
RAFM3-C_2hrEOI,RAFM3,W187,868.8691426100609,317.8705992112551,eoi,101976040.23216268,320809.916001039,85511.10245878919,772.2412811917225,1191.5473687034796,317.6031314819596,9,1191.5473687034796,2.917733088782929,True,True
