Efficiencies for file,,,,C1,C2,C3,C4,A,T1,DI,DL,Error
N:\EffCalCurrent\South sm vl 0.5ml 25cm.ANH,,,,-20.2569,10.2872,-1.65505,0.0866563,0.00347696,1000,1.39,700,0.00458934

 
Energy, Efficiency, MuWin, MuGe 
216,0.139423,0.82414,0.820169
217,0.139163,0.820169,0.816256
218,0.138903,0.816256,0.8124
219,0.138642,0.8124,0.8086
220,0.13838,0.8086,0.804854
221,0.138118,0.804854,0.801162
222,0.137855,0.801162,0.797522
223,0.137592,0.797522,0.793933
224,0.137328,0.793933,0.790395
225,0.137064,0.790395,0.786905
226,0.136799,0.786905,0.783464
227,0.136535,0.783464,0.78007
228,0.13627,0.78007,0.776722
229,0.136005,0.776722,0.773419
230,0.135739,0.773419,0.770161
231,0.135474,0.770161,0.766945
232,0.135208,0.766945,0.763773
233,0.134943,0.763773,0.760642
234,0.134677,0.760642,0.757552
235,0.134411,0.757552,0.754502
236,0.134146,0.754502,0.751491
237,0.13388,0.751491,0.748519
238,0.133614,0.748519,0.745585
239,0.133349,0.745585,0.742688
240,0.133084,0.742688,0.739827
241,0.132819,0.739827,0.737002
242,0.132554,0.737002,0.734211
243,0.132289,0.734211,0.731455
244,0.132024,0.731455,0.728733
245,0.13176,0.728733,0.726044
246,0.131496,0.726044,0.723387
247,0.131232,0.723387,0.720762
248,0.130969,0.720762,0.718168
249,0.130705,0.718168,0.715605
250,0.130442,0.715605,0.713071
251,0.13018,0.713071,0.710568
252,0.129918,0.710568,0.708093
253,0.129656,0.708093,0.705647
254,0.129395,0.705647,0.703229
255,0.129134,0.703229,0.700839
256,0.128873,0.700839,0.698475
257,0.128613,0.698475,0.696138
258,0.128353,0.696138,0.693827
259,0.128094,0.693827,0.691542
260,0.127835,0.691542,0.689282
261,0.127577,0.689282,0.687046
262,0.127319,0.687046,0.684835
263,0.127062,0.684835,0.682648
264,0.126805,0.682648,0.680484
265,0.126549,0.680484,0.678343
266,0.126293,0.678343,0.676225
267,0.126038,0.676225,0.674129
268,0.125783,0.674129,0.672055
269,0.125529,0.672055,0.670003
270,0.125275,0.670003,0.667972
271,0.125022,0.667972,0.665962
272,0.12477,0.665962,0.663972
273,0.124518,0.663972,0.662003
274,0.124266,0.662003,0.660053
275,0.124016,0.660053,0.658123
276,0.123765,0.658123,0.656212
277,0.123516,0.656212,0.65432
278,0.123267,0.65432,0.652447
279,0.123018,0.652447,0.650592
280,0.12277,0.650592,0.648755
281,0.122523,0.648755,0.646935
282,0.122276,0.646935,0.645133
283,0.12203,0.645133,0.643349
284,0.121785,0.643349,0.641581
285,0.12154,0.641581,0.63983
286,0.121296,0.63983,0.638095
287,0.121052,0.638095,0.636377
288,0.120809,0.636377,0.634674
289,0.120567,0.634674,0.632987
290,0.120325,0.632987,0.631316
291,0.120084,0.631316,0.629659
292,0.119844,0.629659,0.628018
293,0.119604,0.628018,0.626391
294,0.119365,0.626391,0.624779
295,0.119126,0.624779,0.623182
296,0.118888,0.623182,0.621598
297,0.118651,0.621598,0.620028
298,0.118414,0.620028,0.618472
299,0.118178,0.618472,0.616929
300,0.117943,0.616929,0.6154
301,0.117708,0.6154,0.613884
302,0.117474,0.613884,0.612381
303,0.11724,0.612381,0.61089
304,0.117008,0.61089,0.609412
305,0.116775,0.609412,0.607947
306,0.116544,0.607947,0.606493
307,0.116313,0.606493,0.605052
308,0.116083,0.605052,0.603622
309,0.115853,0.603622,0.602204
