sample_id,time_origin,relative_time_s,absolute_time_s,nuclide,activity_bq,activity_uncertainty_bq,atoms,atoms_uncertainty,mass_g,mass_uncertainty_g,dose_rate_uSv_h,dose_rate_uncertainty_uSv_h
RAFM4-C_15dEOI,eoi,0.0,0.0,Total,376228226.7767183,49196911.620674685,93442781019915.66,6232233016084.094,2.0271553828429722e-08,1.889877148079361e-09,0.01294123925181042,0.0015443745118097908
RAFM4-C_15dEOI,eoi,360.0,360.0,Total,375162089.5726812,49053367.1519711,93442781019935.27,6215029603214.148,2.0271553515304505e-08,1.8844184026521196e-09,0.012941219838868773,0.0015443721951188083
RAFM4-C_15dEOI,eoi,9645.0,9645.0,Total,348712946.4817734,45492456.470068924,93442781020441.11,5806427445774.485,2.0271545741634995e-08,1.754572445191973e-09,0.012940719156810034,0.0015443124449978991
RAFM4-C_15dEOI,eoi,97565.0,97565.0,Total,176265758.21626028,22289179.84029564,93442781025224.89,4531490314225.196,2.027149463289296e-08,1.3477507009802072e-09,0.012935979140359342,0.0015437467835147307
RAFM4-C_15dEOI,eoi,346788.0,346788.0,Total,32090461.15228767,2973228.1922303643,93442781038726.72,5862374350742.437,2.027144926468893e-08,1.780364293114156e-09,0.012922552255998709,0.0015421444533558187
RAFM4-C_15dEOI,eoi,1385628.0,1385628.0,Total,7742912.292580539,267882.0988045919,93442781094084.1,6161727222749.342,2.0271428658532836e-08,1.887448993511717e-09,0.012866734723687708,0.001535483331340629
RAFM4-C_15dEOI,eoi,0.0,0.0,Co-60,2463.602169204351,293.9948207962897,591231099027.5345,70554768615.06833,5.884076284570738e-11,7.02178287735783e-12,0.01294123925181042,0.0015443745118097908
RAFM4-C_15dEOI,eoi,360.0,360.0,Co-60,2463.5984735949723,293.9943797794605,591230212131.4188,70554662777.01222,5.884067457964003e-11,7.021772344096017e-12,0.012941219838868773,0.0015443721951188083
RAFM4-C_15dEOI,eoi,9645.0,9645.0,Co-60,2463.5031595850855,293.9830054489759,591207338062.0896,70551933092.00175,5.883839809639864e-11,7.021500679177492e-12,0.012940719156810034,0.0015443124449978991
RAFM4-C_15dEOI,eoi,97565.0,97565.0,Co-60,2462.600810545495,293.8753233128724,590990786533.9847,70526090840.16824,5.8816846359472e-11,7.018928795164567e-12,0.012935979140359342,0.0015437467835147307
RAFM4-C_15dEOI,eoi,346788.0,346788.0,Co-60,2460.0447569255225,293.5702957665593,590377368340.9825,70452888367.10068,5.87557974828499e-11,7.011643506274027e-12,0.012922552255998709,0.0015421444533558187
RAFM4-C_15dEOI,eoi,1385628.0,1385628.0,Co-60,2449.4188662356664,292.30225141709474,587827298727.7792,70148574925.7013,5.850200832731097e-11,6.981357489409225e-12,0.012866734723687708,0.001535483331340629
