absolute_time_s,activity_bq,activity_uncertainty_bq,atoms,atoms_uncertainty,dose_rate_uSv_h,dose_rate_uncertainty_uSv_h,mass_g,mass_uncertainty_g,nuclide,relative_time_s,sample_id,time_origin
0.0,376228226.7767183,49196911.620674685,93442781019915.66,6232233016084.094,0.008986971702646125,0.0010724822998679103,2.0271553828429722e-08,1.889877148079361e-09,Total,0.0,RAFM4-C_15dEOI,eoi
86400.0,191982365.51690188,24402418.3356123,93442781024618.0,4514924334916.531,0.008983736792296727,0.001072096253911039,2.0271499339427635e-08,1.3420066808088477e-09,Total,86400.0,RAFM4-C_15dEOI,eoi
604800.0,12230150.719589533,495074.8095536174,93442781052613.88,6146237723149.27,0.00896435176843836,0.0010697828945718183,2.0271439835705785e-08,1.874739616227655e-09,Total,604800.0,RAFM4-C_15dEOI,eoi
31557600.0,89441.8625679053,3476.3087211209204,93442782197772.61,6228883154675.229,0.007879610762291477,0.0009403326811946896,2.0271365331967522e-08,1.8889396596063286e-09,Total,31557600.0,RAFM4-C_15dEOI,eoi
3155760000.0,0.004818100594840154,0.0005722023789145148,93442783139707.97,6232233004614.415,1.748849438189227e-08,2.087339955802124e-09,2.0271358457242164e-08,1.8898628073064487e-09,Total,3155760000.0,RAFM4-C_15dEOI,eoi
0.0,2463.602169204351,293.9948207962897,591231099027.5345,70554768615.06833,0.008986971702646125,0.0010724822998679103,5.884076284570738e-11,7.02178287735783e-12,Co-60,0.0,RAFM4-C_15dEOI,eoi
86400.0,2462.7153819285422,293.88899572866524,591018282111.6243,70529372034.47655,0.008983736792296727,0.001072096253911039,5.88195827865068e-11,7.0192553476352735e-12,Co-60,86400.0,RAFM4-C_15dEOI,eoi
604800.0,2457.4013575377135,293.2548447832786,589742988348.6449,70377184410.56676,0.00896435176843836,0.0010697828945718183,5.869266243676623e-11,7.004109263639935e-12,Co-60,604800.0,RAFM4-C_15dEOI,eoi
31557600.0,2160.0408690228205,257.7692313718555,518380505140.24426,61861118594.76267,0.007879610762291477,0.0009403326811946896,5.159049383052597e-11,6.156569596206392e-12,Co-60,31557600.0,RAFM4-C_15dEOI,eoi
3155760000.0,0.0047941280022793485,0.0005721932562536289,1150525.6827167482,137318.61904482497,1.748849438189227e-08,2.087339955802124e-09,1.1450312569142945e-16,1.3666284318951714e-17,Co-60,3155760000.0,RAFM4-C_15dEOI,eoi
