absolute_time_s,activity_bq,activity_uncertainty_bq,dose_rate_uSv_h,dose_rate_uncertainty_uSv_h,endpoint,relative_time_s
0.0,376228226.7767183,49196911.620674685,0.008986971702646125,0.0010724822998679103,shutdown,0.0
86400.0,191982365.51690188,24402418.3356123,0.008983736792296727,0.001072096253911039,1_d,86400.0
604800.0,12230150.719589533,495074.8095536174,0.00896435176843836,0.0010697828945718183,1_wk,604800.0
31557600.0,89441.8625679053,3476.3087211209204,0.007879610762291477,0.0009403326811946896,1_y,31557600.0
3155760000.0,0.004818100594840154,0.0005722023789145148,1.748849438189227e-08,2.087339955802124e-09,100_y,3155760000.0
