cooldown_time_s,count_time_s,irradiation_time_s,label,objective,objective_score,rank
360.0,900.0,7200.0,irr_7200s_cool_360s_count_900s,di-fom,1.6391098400540012e+16,1
9645.0,900.0,7200.0,irr_7200s_cool_9645s_count_900s,di-fom,1.5214159573870412e+16,2
360.0,600.0,7200.0,irr_7200s_cool_360s_count_600s,di-fom,1.0927398933693342e+16,3
9645.0,600.0,7200.0,irr_7200s_cool_9645s_count_600s,di-fom,1.0142773049246944e+16,4
360.0,900.0,3600.0,irr_3600s_cool_360s_count_900s,di-fom,8313946945761927.0,5
